,Time,User,Tweet
0,2022-05-16 16:00:48+00:00,BBCWorld,"Johnny Depp hit me on honeymoon, says Amber Heard https://t.co/lMdB55pVpf"
1,2022-05-16 16:00:11+00:00,the_hindu,"#Toyota has added a new GR-S variant to its SUV India lineup. Priced at ₹ 48.43 lakh, the Fortuner GR-S gets stylistic differences and a GR-tuned suspension system. 
https://t.co/zuvLbeJsHo"
2,2022-05-16 15:50:02+00:00,the_hindu,"#Data | According to NFHS-5 survey, about 18% of married women said they cannot say ‘no’ to their husbands even if they did not want to have sexual intercourse, report @VigneshJourno @RebeccaRoseVar1 
https://t.co/wIZKtFEU4l"
3,2022-05-16 15:49:10+00:00,rashtrapatibhvn,"President Ram Nath Kovind laid a wreath at Marcus Garvey Shrine in Kingston, Jamaica. https://t.co/5GvWveNK8Z"
4,2022-05-16 15:40:03+00:00,the_hindu,"In a plush, tree-lined bylane of Alwarpet, sits a little corner mess, Meen Satti, where you can have unlimited portions of rice, dried fish sambal, meen kuzhambu, chicken curry, rasam, sambar, kootu and poriyal for just ₹160.
https://t.co/jS3WpWA7BJ"
5,2022-05-16 15:30:12+00:00,the_hindu,"The #IndianArmy's Eastern command chief said #China's People's Liberation Army (#PLA) is engaged in infrastructure capacity enhancement across the international border in #ArunachalPradesh.
https://t.co/5yw7Hhm0M5"
6,2022-05-16 15:24:04+00:00,BBCWorld,UK judges refuse to ban death penalty in Trinidad and Tobago https://t.co/Im8Pa7mVs8
7,2022-05-16 15:20:05+00:00,the_hindu,"#Lebanon's militant Hezbollah group and its allies appear to have suffered losses in Parliamentary elections with preliminary results showing their strongest opponents picking up more seats and some of their traditional partners routed out of legislature.
https://t.co/zhIcHhAn10"
8,2022-05-16 15:10:04+00:00,the_hindu,"It was in 2015 that the then 12-year-old G Roshan first laid eyes on a custom vintage motorcycle at an auto show in Udhagamandalam. “My interest in designing my own miniature motorcycles and cars stems from that,” says Roshan. | @ThinBrownDuke26
https://t.co/b3U8Y1rU6D"
9,2022-05-16 14:59:07+00:00,BBCWorld,Who is Somalia's new leader Hassan Sheikh Mohamud? https://t.co/maTUJk77A6
10,2022-05-16 14:40:06+00:00,the_hindu,"45-year-old Mamta, one of the survivors of the #Mundka fire, has no time to grieve as another pressing worry on her mind is to feed her family of nine who is entirely dependent on her. Malti, another survivor, said it is difficult to find work.
https://t.co/gUK3jzXQhu"
11,2022-05-16 14:35:06+00:00,BBCWorld,Goldman Sachs to offer senior staff unlimited holiday https://t.co/f2QQ94C9UJ
12,2022-05-16 14:30:11+00:00,the_hindu,"“Two people were killed and three more were taken to a hospital with injuries after a shooting on May 15 at a bustling Houston flea market,” authorities said.
https://t.co/NRD40NPWIF"
13,2022-05-16 14:20:03+00:00,the_hindu,"Benchmark indices #Sensex and #Nifty ended their six-day losing run on Monday on the back of buying in banking, auto and power stocks amid mixed trends in global equities.
https://t.co/1bbDGBBO3N"
14,2022-05-16 14:14:18+00:00,TNCoronaUpdate,"#TamilNadu | #COVID19 | 16 May 2022

Today/Total - 31 / 34,54,652
Active Cases - 332
Discharged Today/Total - 58 / 34,16,295
Death Today/Total - 0 /  38,025
Samples Tested Today/Total - 13,149 / 6,64,17,654@
Test Positivity Rate (TPR) - 0.2%

#TNCoronaUpdate #TN https://t.co/vawBz0Mfnr"
15,2022-05-16 14:13:03+00:00,BBCWorld,Matriarch accused of leading Honduras drug clan captured https://t.co/846z5qBn71
16,2022-05-16 14:11:29+00:00,TNCoronaUpdate,"#TamilNadu | #COVID19 | 16 May 2022

District Wise  Data

#TNCoronaUpdates #coronavirus https://t.co/CUyF2AqOoM"
17,2022-05-16 14:10:11+00:00,TNCoronaUpdate,"#BedsforTN

#COVID19 Bed Vacancy Details In CHC / CDH / CCC as On (16.05.2022)

#TamilNadu  #TNCoronaUpdate https://t.co/96rT9U9UnI"
18,2022-05-16 14:10:04+00:00,the_hindu,"More than three decades after it became the first American fast food restaurant to open in the Soviet Union, #McDonald’s said that it has started the process of selling its business in #Russia, as the country continues its war in #Ukraine.
https://t.co/7EY2Tp5exs"
19,2022-05-16 14:09:44+00:00,TNCoronaUpdate,"#TamilNadu District Wise Positivity Rate as per RT-PCR Monitoring report as on 15.05.2022

#TNCoronaUpdate https://t.co/ksmSIFvw9V"
